7.9_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.265029
7.9_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.314918
7.6_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.384736
7.6_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.446432
7.2_raw.csv_filtered_by_correlation15_SNR20_all_replacement_strategy_1,2022-11-26 23:05:48.520265
7.2_raw.csv_filtered_by_correlation15_SNR20_individual_replacement_strategy_1,2022-11-26 23:05:48.572108
Complete Duration,0:00:59.175967
7.9_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_2,2022-11-30 01:24:31.957404
7.9_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_2,2022-11-30 01:24:32.109057
7.6_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_2,2022-11-30 01:24:32.316016
7.6_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_2,2022-11-30 01:24:32.447992
7.2_raw.csv_filtered_by_acceleration_1.5_all_replacement_strategy_2,2022-11-30 01:24:32.666703
7.2_raw.csv_filtered_by_acceleration_1.5_individual_replacement_strategy_2,2022-11-30 01:24:32.789190
Complete Duration,0:00:07.013964
7.9_raw.csv_filtered_by_correlation2_all_replacement_strategy_3,2022-11-30 01:40:49.050649
7.9_raw.csv_filtered_by_correlation2_individual_replacement_strategy_3,2022-11-30 01:40:49.140806
7.6_raw.csv_filtered_by_correlation2_all_replacement_strategy_3,2022-11-30 01:40:49.259083
7.6_raw.csv_filtered_by_correlation2_individual_replacement_strategy_3,2022-11-30 01:40:49.337317
7.2_raw.csv_filtered_by_correlation2_all_replacement_strategy_3,2022-11-30 01:40:49.441038
7.2_raw.csv_filtered_by_correlation2_individual_replacement_strategy_3,2022-11-30 01:40:49.550985
Complete Duration,0:00:20.578680
Complete Duration,0:00:00.412258
Complete Duration,0:00:00.158792
Complete Duration,0:00:00.172159
Complete Duration,0:00:00.157762
Complete Duration,0:00:00.154740
Complete Duration,0:00:00.164796
Complete Duration,0:00:00.164444
Complete Duration,0:00:00.157969
Complete Duration,0:00:00.155239
Complete Duration,0:00:00.201760
Complete Duration,0:00:00.154699
Complete Duration,0:00:00.156697
Complete Duration,0:00:00.121098
Complete Duration,0:00:00.121595
7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.0,2022-11-30 02:47:50.185559
7.9_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.0,2022-11-30 02:47:50.304159
7.6_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.0,2022-11-30 02:47:50.468954
7.6_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.0,2022-11-30 02:47:50.581988
7.2_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.0,2022-11-30 02:47:50.726846
7.2_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.0,2022-11-30 02:47:50.845864
Complete Duration,0:00:00.931839
7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.01,2022-11-30 02:47:53.360318
7.9_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.01,2022-11-30 02:47:53.507950
7.6_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.01,2022-11-30 02:47:53.652300
7.6_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.01,2022-11-30 02:47:53.780940
7.2_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.01,2022-11-30 02:47:53.940586
7.2_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.01,2022-11-30 02:47:54.055501
Complete Duration,0:00:00.943047
7.9_raw.csv_filtered_by_correlation1_all_replacement_strategy_0.01,2022-11-30 02:47:54.615718
7.9_raw.csv_filtered_by_correlation1_individual_replacement_strategy_0.01,2022-11-30 02:47:54.783766
7.6_raw.csv_filtered_by_correlation1_all_replacement_strategy_0.01,2022-11-30 02:47:54.927849
7.6_raw.csv_filtered_by_correlation1_individual_replacement_strategy_0.01,2022-11-30 02:47:55.081145
7.2_raw.csv_filtered_by_correlation1_all_replacement_strategy_0.01,2022-11-30 02:47:55.264826
7.2_raw.csv_filtered_by_correlation1_individual_replacement_strategy_0.01,2022-11-30 02:47:55.459041
Complete Duration,0:00:01.140685
Complete Duration,0:00:00.392705
Complete Duration,0:00:00.110958
7.9_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.0,2022-11-30 03:02:30.026216
7.9_raw.csv_filtered_by_correlation0_individual_replacement_strategy_0.0,2022-11-30 03:02:30.198220
7.6_raw.csv_filtered_by_correlation0_all_replacement_strategy_0.0,2022-11-30 03:02:30.331888
